DonorID,DonorStatus,Recurring Status,Name,Total Contributions ($),Total Contributions (Freq),DonorType,First Gift Date,Last Gift Date,Recency (Days),Recurring Status Freq,Gift Officer,,,,,,,,,,,,,,,,,,,,,
D-00063,Active,Not Recurrent,Gary Miller,"$8,500.00",2,Individual,8/10/2024,12/2/2025,29,Not Recurrent,James Whitfield,,,,,,,,,,,,,,,,,,,,,
D-00064,Active,Not Recurrent,Jonathan Roberts,$150.00,1,Individual,12/25/2025,12/25/2025,6,Not Recurrent,Aisha Bello,,,,,,,,,,,,,,,,,,,,,
D-00065,Active,Not Recurrent,Kathleen Torres,$950.00,3,Individual,4/8/2022,12/26/2025,5,Not Recurrent,Maria Chen,,,,,,,,,,,,,,,,,,,,,
D-00066,Lapsed,Not Recurrent,Kimberly Perez,$150.00,1,Individual,3/24/2023,3/24/2023,1013,Not Recurrent,Priya Nair,,,,,,,,,,,,,,,,,,,,,
D-00067,Lapsing,Not Recurrent,Gary Scott,$250.00,1,Individual,7/11/2024,7/11/2024,538,Not Recurrent,Tom Russo,,,,,,,,,,,,,,,,,,,,,
D-00068,Active,Not Recurrent,Michelle Nelson,$200.00,1,Individual,7/24/2025,7/24/2025,160,Not Recurrent,Priya Nair,,,,,,,,,,,,,,,,,,,,,
D-00069,Active,Not Recurrent,Michelle Taylor,"$16,000.00",3,Individual,2/1/2022,12/24/2025,7,Not Recurrent,Aisha Bello,,,,,,,,,,,,,,,,,,,,,
D-00070,Never Gave,Not Recurrent,Matthew Wilson,$0.00,0,Individual,1/0/1900,1/0/1900,46022,Not Recurrent,Priya Nair,,,,,,,,,,,,,,,,,,,,,
D-00071,Active,Not Recurrent,George Lopez,$450.00,2,Individual,4/22/2024,5/31/2025,214,Not Recurrent,James Whitfield,,,,,,,,,,,,,,,,,,,,,
D-00072,Active,Not Recurrent,Thomas Green,$900.00,4,Individual,4/13/2022,10/15/2025,77,Not Recurrent,Priya Nair,,,,,,,,,,,,,,,,,,,,,
D-00073,Active,Not Recurrent,Michael Taylor,$50.00,1,Individual,2/14/2025,2/14/2025,320,Not Recurrent,Tom Russo,,,,,,,,,,,,,,,,,,,,,
D-00074,Never Gave,Not Recurrent,Joshua Garcia,$0.00,0,Individual,1/0/1900,1/0/1900,46022,Not Recurrent,Priya Nair,,,,,,,,,,,,,,,,,,,,,
D-00075,Lapsed,Not Recurrent,Jeffrey Martin,$50.00,1,Individual,8/13/2023,8/13/2023,871,Not Recurrent,Priya Nair,,,,,,,,,,,,,,,,,,,,,
D-00076,Active,Not Recurrent,Margaret Taylor,$550.00,4,Individual,4/16/2022,2/13/2025,321,Not Recurrent,Priya Nair,,,,,,,,,,,,,,,,,,,,,
D-00077,Lapsed,Not Recurrent,Jacob Jackson,$100.00,1,Individual,3/19/2023,3/19/2023,1018,Not Recurrent,Tom Russo,,,,,,,,,,,,,,,,,,,,,
D-00078,Never Gave,Not Recurrent,Nicole Nelson,$0.00,0,Individual,1/0/1900,1/0/1900,46022,Not Recurrent,James Whitfield,,,,,,,,,,,,,,,,,,,,,
D-00079,Active,Active,Bright Path Charitable Trust,$150.00,3,Organization,5/20/2025,11/20/2025,41,Quarterly,Aisha Bello,,,,,,,,,,,,,,,,,,,,,
D-00080,Active,Active,Paul Allen,"$3,600.00",47,Individual,1/1/2022,12/1/2025,30,Monthly,Priya Nair,,,,,,,,,,,,,,,,,,,,,
D-00081,Active,Not Recurrent,Northgate Manufacturing,$400.00,3,Organization,6/6/2022,1/2/2025,363,Not Recurrent,Aisha Bello,,,,,,,,,,,,,,,,,,,,,
D-00082,Active,Not Recurrent,Emily Lopez,$75.00,1,Individual,9/1/2025,9/1/2025,121,Not Recurrent,Maria Chen,,,,,,,,,,,,,,,,,,,,,
D-00083,Active,Not Recurrent,Christopher Perez,$650.00,3,Individual,11/16/2022,12/29/2025,2,Not Recurrent,Tom Russo,,,,,,,,,,,,,,,,,,,,,
D-00084,Active,Not Recurrent,Carol Davis,$150.00,1,Individual,6/21/2025,6/21/2025,193,Not Recurrent,Priya Nair,,,,,,,,,,,,,,,,,,,,,
D-00085,Active,Not Recurrent,Shirley Green,$650.00,2,Individual,4/15/2024,11/7/2025,54,Not Recurrent,Aisha Bello,,,,,,,,,,,,,,,,,,,,,
D-00086,Lapsed,Not Recurrent,Jessica Johnson,$50.00,1,Individual,11/28/2023,11/28/2023,764,Not Recurrent,Aisha Bello,,,,,,,,,,,,,,,,,,,,,
D-00087,Lapsed,Canceled,Joseph Robinson,$975.00,12,Individual,1/1/2022,1/1/2023,1095,Monthly,Tom Russo,,,,,,,,,,,,,,,,,,,,,
D-00088,Active,Active,Amy Walker,"$4,800.00",46,Individual,1/1/2022,12/1/2025,30,Monthly,Tom Russo,,,,,,,,,,,,,,,,,,,,,
D-00089,Never Gave,Not Recurrent,David Moore,$0.00,0,Individual,1/0/1900,1/0/1900,46022,Not Recurrent,Aisha Bello,,,,,,,,,,,,,,,,,,,,,
D-00090,Active,Not Recurrent,Gary Martinez,"$1,150.00",4,Individual,10/19/2022,12/15/2025,16,Not Recurrent,Aisha Bello,,,,,,,,,,,,,,,,,,,,,
D-00091,Active,Active,Matthew Hall,"$1,680.00",48,Individual,1/1/2022,12/1/2025,30,Monthly,Tom Russo,,,,,,,,,,,,,,,,,,,,,
D-00092,Lapsed,Not Recurrent,Stephanie Nelson,$200.00,2,Individual,1/22/2022,8/3/2022,1246,Not Recurrent,James Whitfield,,,,,,,,,,,,,,,,,,,,,
D-00093,Active,Not Recurrent,Jeffrey Miller,$100.00,1,Individual,11/20/2025,11/20/2025,41,Not Recurrent,James Whitfield,,,,,,,,,,,,,,,,,,,,,
D-00094,Active,Not Recurrent,Kimberly Perez,"$8,500.00",3,Individual,6/19/2022,4/10/2025,265,Not Recurrent,Aisha Bello,,,,,,,,,,,,,,,,,,,,,
D-00095,Lapsing,Not Recurrent,Gary Wright,$150.00,2,Individual,5/15/2022,5/14/2024,596,Not Recurrent,Aisha Bello,,,,,,,,,,,,,,,,,,,,,
D-00096,Lapsed,Not Recurrent,Cascade Health Partners,$50.00,1,Organization,12/24/2022,12/24/2022,1103,Not Recurrent,Maria Chen,,,,,,,,,,,,,,,,,,,,,
D-00097,Active,Active,Charles Thomas,"$2,400.00",45,Individual,1/1/2022,12/1/2025,30,Monthly,James Whitfield,,,,,,,,,,,,,,,,,,,,,
D-00098,Lapsed,Not Recurrent,Justin Martinez,$250.00,1,Individual,4/27/2022,4/27/2022,1344,Not Recurrent,Tom Russo,,,,,,,,,,,,,,,,,,,,,
D-00099,Active,Active,Andrew Baker,$900.00,9,Individual,12/15/2023,12/15/2025,16,Quarterly,Aisha Bello,,,,,,,,,,,,,,,,,,,,,
D-00100,Active,Active,Joshua Gonzalez,$480.00,45,Individual,1/1/2022,12/1/2025,30,Monthly,James Whitfield,,,,,,,,,,,,,,,,,,,,,
D-00101,Never Gave,Not Recurrent,Donna Johnson,$0.00,0,Individual,1/0/1900,1/0/1900,46022,Not Recurrent,Maria Chen,,,,,,,,,,,,,,,,,,,,,
D-00102,Active,Canceled,Sandra Hill,$400.00,15,Individual,1/1/2022,10/1/2025,91,Quarterly,Priya Nair,,,,,,,,,,,,,,,,,,,,,
D-00103,Active,Active,Jennifer Martin,$120.00,10,Individual,2/3/2023,11/3/2025,58,Quarterly,James Whitfield,,,,,,,,,,,,,,,,,,,,,
D-00104,Active,Active,Thomas Wright,$480.00,46,Individual,1/21/2022,12/21/2025,10,Monthly,James Whitfield,,,,,,,,,,,,,,,,,,,,,
D-00105,Lapsed,Not Recurrent,Joseph Robinson,$150.00,2,Individual,2/12/2022,3/21/2022,1381,Not Recurrent,Tom Russo,,,,,,,,,,,,,,,,,,,,,
D-00106,Lapsing,Not Recurrent,Redwood Insurance Group,$75.00,1,Organization,2/19/2024,2/19/2024,681,Not Recurrent,Priya Nair,,,,,,,,,,,,,,,,,,,,,
D-00107,Active,Canceled,Patricia Flores,$240.00,15,Individual,1/1/2022,10/1/2025,91,Quarterly,Maria Chen,,,,,,,,,,,,,,,,,,,,,
D-00108,Active,Not Recurrent,Whitfield Family Foundation,$450.00,3,Organization,11/5/2022,12/21/2025,10,Not Recurrent,Maria Chen,,,,,,,,,,,,,,,,,,,,,
D-00109,Active,Canceled,Anna Clark,$240.00,16,Individual,1/1/2022,10/1/2025,91,Quarterly,Tom Russo,,,,,,,,,,,,,,,,,,,,,
D-00110,Active,Not Recurrent,Emily Williams,"$1,000.00",3,Individual,9/2/2023,7/12/2025,172,Not Recurrent,James Whitfield,,,,,,,,,,,,,,,,,,,,,
D-00111,Active,Active,Melissa Brown,"$3,600.00",46,Individual,1/1/2022,12/1/2025,30,Monthly,Tom Russo,,,,,,,,,,,,,,,,,,,,,
D-00112,Active,Active,Robert Brown,$720.00,47,Individual,1/1/2022,12/1/2025,30,Monthly,Priya Nair,,,,,,,,,,,,,,,,,,,,,
D-00113,Active,Not Recurrent,Sandra Perez,$150.00,1,Individual,4/3/2025,4/3/2025,272,Not Recurrent,Maria Chen,,,,,,,,,,,,,,,,,,,,,
D-00114,Lapsed,Not Recurrent,Joseph Nelson,$75.00,1,Individual,9/20/2023,9/20/2023,833,Not Recurrent,James Whitfield,,,,,,,,,,,,,,,,,,,,,
D-00115,Active,Not Recurrent,Lakeside Rotary Club,$650.00,2,Organization,10/1/2024,11/30/2025,31,Not Recurrent,Tom Russo,,,,,,,,,,,,,,,,,,,,,
D-00116,Active,Active,Brandon Williams,$480.00,46,Individual,1/1/2022,12/1/2025,30,Monthly,Maria Chen,,,,,,,,,,,,,,,,,,,,,
D-00117,Active,Active,Jeffrey Jones,"$1,200.00",47,Individual,1/1/2022,12/1/2025,30,Monthly,Maria Chen,,,,,,,,,,,,,,,,,,,,,
D-00118,Never Gave,Not Recurrent,Scott King,$0.00,0,Individual,1/0/1900,1/0/1900,46022,Not Recurrent,Maria Chen,,,,,,,,,,,,,,,,,,,,,
D-00119,Lapsed,Not Recurrent,Timothy Perez,$100.00,1,Individual,12/16/2023,12/16/2023,746,Not Recurrent,Aisha Bello,,,,,,,,,,,,,,,,,,,,,
D-00120,Lapsed,Not Recurrent,Jacob Jones,$50.00,1,Individual,2/26/2022,2/26/2022,1404,Not Recurrent,Tom Russo,,,,,,,,,,,,,,,,,,,,,
D-00121,Lapsed,Not Recurrent,Nicole Scott,$50.00,1,Individual,12/17/2023,12/17/2023,745,Not Recurrent,Tom Russo,,,,,,,,,,,,,,,,,,,,,
D-00122,Active,Not Recurrent,Andrew Hill,$100.00,1,Individual,11/24/2025,11/24/2025,37,Not Recurrent,Priya Nair,,,,,,,,,,,,,,,,,,,,,
D-00123,Active,Active,Redwood Insurance Group,$135.00,8,Organization,10/24/2023,10/24/2025,68,Quarterly,Priya Nair,,,,,,,,,,,,,,,,,,,,,
D-00124,Lapsed,Not Recurrent,Paul Johnson,$50.00,1,Individual,11/12/2022,11/12/2022,1145,Not Recurrent,Aisha Bello,,,,,,,,,,,,,,,,,,,,,
D-00125,Active,Not Recurrent,Rebecca Jones,$675.00,4,Individual,9/3/2022,5/10/2025,235,Not Recurrent,Maria Chen,,,,,,,,,,,,,,,,,,,,,
D-00126,Active,Not Recurrent,Christopher White,$50.00,1,Individual,5/16/2025,5/16/2025,229,Not Recurrent,Priya Nair,,,,,,,,,,,,,,,,,,,,,
D-00127,Active,Not Recurrent,William Moore,$150.00,1,Individual,6/17/2025,6/17/2025,197,Not Recurrent,Priya Nair,,,,,,,,,,,,,,,,,,,,,
D-00128,Active,Not Recurrent,Brian Ramirez,$150.00,1,Individual,11/4/2025,11/4/2025,57,Not Recurrent,Tom Russo,,,,,,,,,,,,,,,,,,,,,
D-00129,Lapsing,Not Recurrent,Scott Brown,$400.00,2,Individual,3/3/2023,2/20/2024,680,Not Recurrent,James Whitfield,,,,,,,,,,,,,,,,,,,,,
D-00130,Lapsing,Not Recurrent,Lakeside Rotary Club,$25.00,1,Organization,12/28/2024,12/28/2024,368,Not Recurrent,Priya Nair,,,,,,,,,,,,,,,,,,,,,
D-00131,Active,Active,Jennifer Ramirez,"$2,400.00",45,Individual,1/1/2022,12/1/2025,30,Monthly,Aisha Bello,,,,,,,,,,,,,,,,,,,,,
D-00132,Active,Not Recurrent,Joseph Sanchez,$25.00,1,Individual,8/14/2025,8/14/2025,139,Not Recurrent,Priya Nair,,,,,,,,,,,,,,,,,,,,,
D-00133,Lapsed,Not Recurrent,Ashley Ramirez,$100.00,1,Individual,1/25/2022,1/25/2022,1436,Not Recurrent,Tom Russo,,,,,,,,,,,,,,,,,,,,,
D-00134,Lapsed,Not Recurrent,Elizabeth Allen,$50.00,1,Individual,1/28/2022,1/28/2022,1433,Not Recurrent,Aisha Bello,,,,,,,,,,,,,,,,,,,,,
D-00135,Active,Active,Betty Lopez,$480.00,47,Individual,1/1/2022,12/1/2025,30,Monthly,James Whitfield,,,,,,,,,,,,,,,,,,,,,
D-00136,Lapsing,Not Recurrent,Cynthia Baker,$225.00,2,Individual,10/10/2023,12/22/2024,374,Not Recurrent,Aisha Bello,,,,,,,,,,,,,,,,,,,,,
D-00137,Active,Not Recurrent,Emily Nguyen,$250.00,1,Individual,12/7/2025,12/7/2025,24,Not Recurrent,Aisha Bello,,,,,,,,,,,,,,,,,,,,,
D-00138,Active,Not Recurrent,Elizabeth Adams,$375.00,2,Individual,3/13/2024,4/4/2025,271,Not Recurrent,Tom Russo,,,,,,,,,,,,,,,,,,,,,
D-00139,Active,Not Recurrent,Matthew Lee,"$40,000.00",4,Individual,7/30/2022,10/11/2025,81,Not Recurrent,Maria Chen,,,,,,,,,,,,,,,,,,,,,
D-00140,Lapsing,Not Recurrent,Cascade Health Partners,$275.00,2,Organization,2/17/2023,4/4/2024,636,Not Recurrent,Priya Nair,,,,,,,,,,,,,,,,,,,,,
D-00141,Active,Not Recurrent,Stephanie Clark,$275.00,4,Individual,11/28/2022,10/19/2025,73,Not Recurrent,Aisha Bello,,,,,,,,,,,,,,,,,,,,,
